,combine_year,player_name,first_name,last_name,college,position,height_inches,weight_lbs,hand_size_inches,arm_length_inches,40_yard_dash,bench_press_reps,vertical_leap_inches,broad_jump_inches,3_cone_drill,20_yard_shuttle,60_yard_shuttle,hand_size_inches_missed,arm_length_inches_missed,40_yard_dash_missed,bench_press_reps_missed,vertical_leap_inches_missed,broad_jump_inches_missed,3_cone_drill_missed,20_yard_shuttle_missed,60_yard_shuttle_missed
0,2017,jamal adams,jamal,adams,louisiana_state,db,71.63,214,9.25,33.38,4.56,18.0,31.5,120.0,6.96,4.13,,0,0,0,0,0,0,0,0,1
1,2017,montravius adams,montravius,adams,auburn,dl,75.63,304,9.25,32.75,4.87,22.0,29.0,108.0,7.62,,,0,0,0,0,0,0,0,1,1
2,2017,rodney adams,rodney,adams,south_florida,wr,73.25,189,9.0,32.0,4.44,8.0,29.5,125.0,6.98,4.28,11.39,0,0,0,0,0,0,0,0,0
3,2017,quincy adeboyejo,quincy,adeboyejo,mississippi,wr,74.75,197,9.38,31.75,4.42,8.0,34.5,123.0,6.73,4.14,,0,0,0,0,0,0,0,0,1
4,2017,brian allen,brian,allen,utah,db,74.88,215,10.0,34.0,4.48,15.0,34.5,117.0,6.64,4.34,,0,0,0,0,0,0,0,0,1
5,2017,jonathan allen,jonathan,allen,alabama,dl,74.63,286,9.38,33.63,5.0,21.0,30.0,108.0,7.49,4.44,,0,0,0,0,0,0,0,0,1
6,2017,ryan anderson,ryan,anderson,alabama,lb,74.13,253,9.38,31.5,4.78,,,,,,,0,0,0,1,1,1,1,1,1
7,2017,gavin andrews,gavin,andrews,oregon_state,ol,77.0,340,,,,,,,,5.09,,1,1,1,1,1,1,1,0,1
8,2017,alex anzalone,alex,anzalone,florida,lb,75.0,241,9.13,32.13,4.63,16.0,30.5,116.0,6.88,,,0,0,0,0,0,0,0,1,1
9,2017,isaac asiata,isaac,asiata,utah,ol,75.13,323,10.38,33.75,5.34,35.0,25.5,102.0,7.83,4.93,,0,0,0,0,0,0,0,0,1
10,2017,antony auclair,antony,auclair,laval,fb_te,78.0,254,,,,,,,,4.45,12.08,1,1,1,1,1,1,1,0,0
11,2017,erik austell,erik,austell,charleston_southern,ol,75.13,301,9.0,32.0,5.23,24.0,27.5,107.0,8.13,4.9,,0,0,0,0,0,0,0,0,1
12,2017,chidobe awuzie,chidobe,awuzie,colorado,lb,71.75,202,8.5,30.63,4.43,16.0,34.5,132.0,6.81,4.14,,0,0,0,0,0,0,0,0,1
13,2017,budda baker,budda,baker,washington,db,69.63,195,9.0,30.75,4.45,15.0,32.5,115.0,6.76,4.08,,0,0,0,0,0,0,0,0,1
14,2017,toby baker,toby,baker,arkansas,k_p,75.13,210,9.25,31.63,,,,,,,,0,0,1,1,1,1,1,1,1
15,2017,zach banner,zach,banner,southern_california,ol,80.38,353,10.75,34.88,5.58,22.0,23.5,92.0,8.31,5.21,,0,0,0,0,0,0,0,0,1
16,2017,derek barnett,derek,barnett,tennessee,dl,74.63,259,10.0,32.13,4.88,,31.0,117.0,6.96,4.44,11.71,0,0,0,1,0,0,0,0,0
17,2017,tarell basham,tarell,basham,ohio,dl,75.63,269,10.25,34.25,4.7,15.0,31.5,119.0,7.27,4.44,,0,0,0,0,0,0,0,0,1
