full_name,first_name,last_name,combine_year,college,position,height_inches,weight_lbs,hand_size_inches,arm_length_inches,40_yard_dash,bench_press_reps,vertical_leap_inches,broad_jump_inches,3_cone_drill,20_yard_shuttle,60_yard_shuttle
jamal_adams,jamal,adams,2017,louisiana_state,db,71.63,214,9.25,33.38,4.56,18,31.5,120,6.96,4.13,
montravius_adams,montravius,adams,2017,auburn,dl,75.63,304,9.25,32.75,4.87,22,29,108,7.62,,
rodney_adams,rodney,adams,2017,south_florida,wr,73.25,189,9,32,4.44,8,29.5,125,6.98,4.28,11.39
quincy_adeboyejo,quincy,adeboyejo,2017,mississippi,wr,74.75,197,9.38,31.75,4.42,8,34.5,123,6.73,4.14,
brian_allen,brian,allen,2017,utah,db,74.88,215,10,34,4.48,15,34.5,117,6.64,4.34,
jonathan_allen,jonathan,allen,2017,alabama,dl,74.63,286,9.38,33.63,5,21,30,108,7.49,4.44,
ryan_anderson,ryan,anderson,2017,alabama,lb,74.13,253,9.38,31.5,4.78,,,,,,
gavin_andrews,gavin,andrews,2017,oregon_state,ol,77,340,,,,,,,,5.09,
alex_anzalone,alex,anzalone,2017,florida,lb,75,241,9.13,32.13,4.63,16,30.5,116,6.88,,
isaac_asiata,isaac,asiata,2017,utah,ol,75.13,323,10.38,33.75,5.34,35,25.5,102,7.83,4.93,
antony_auclair,antony,auclair,2017,laval,fb_te,78,254,,,,,,,,4.45,12.08
erik_austell,erik,austell,2017,charleston_southern,ol,75.13,301,9,32,5.23,24,27.5,107,8.13,4.9,
chidobe_awuzie,chidobe,awuzie,2017,colorado,lb,71.75,202,8.5,30.63,4.43,16,34.5,132,6.81,4.14,
budda_baker,budda,baker,2017,washington,db,69.63,195,9,30.75,4.45,15,32.5,115,6.76,4.08,
toby_baker,toby,baker,2017,arkansas,k_p,75.13,210,9.25,31.63,,,,,,,
zach_banner,zach,banner,2017,southern_california,ol,80.38,353,10.75,34.88,5.58,22,23.5,92,8.31,5.21,
derek_barnett,derek,barnett,2017,tennessee,dl,74.63,259,10,32.13,4.88,,31,117,6.96,4.44,11.71
tarell_basham,tarell,basham,2017,ohio,dl,75.63,269,10.25,34.25,4.7,15,31.5,119,7.27,4.44,
cj_beathard,cj,beathard,2017,iowa,qb,74.13,219,9.38,30.63,,,31,113,,,
kendell_beckwith,kendell,beckwith,2017,louisiana_state,lb,74.13,243,9.5,33,,20,,,,,
collin_bevins,collin,bevins,2017,northwest_missouri_state,dl,78,285,,,,,,,,4.39,
vince_biegel,vince,biegel,2017,wisconsin,lb,75.13,246,9.13,32.38,4.67,21,33.5,118,6.92,,
adam_bisnowaty,adam,bisnowaty,2017,pittsburgh,ol,77.63,304,11.38,33.88,5.23,23,29.5,96,8.02,4.94,
victor_bolden,victor,bolden,2017,oregon_state,wr,68.13,178,9,31.13,4.54,9,32,117,6.83,4.22,11.14
garett_bolles,garett,bolles,2017,utah,ol,77.25,297,9.38,34,4.95,,28,115,7.29,4.55,
