,height_inches,weight_lbs,hand_size_inches,arm_length_inches,40_yard_dash,bench_press_reps,vertical_leap_inches,broad_jump_inches,3_cone_drill,20_yard_shuttle,hand_size_inches_missed,arm_length_inches_missed,40_yard_dash_missed,bench_press_reps_missed,vertical_leap_inches_missed,broad_jump_inches_missed,3_cone_drill_missed,20_yard_shuttle_missed,draft_status
0,75.63,304,9.25,32.75,4.87,22.0,29.0,108.0,7.62,4.51719992141328,0,0,0,0,0,0,0,1,1
1,74.63,286,9.38,33.63,5.0,21.0,30.0,108.0,7.49,4.44,0,0,0,0,0,0,0,0,1
2,77.0,340,10.118660387886678,33.870491021454214,5.430196725373101,27.211220072555072,25.812246002893772,98.57088342356994,8.473005963439206,5.09,1,1,1,1,1,1,1,0,0
3,75.13,323,10.38,33.75,5.34,35.0,25.5,102.0,7.83,4.93,0,0,0,0,0,0,0,0,1
4,75.13,301,9.0,32.0,5.23,24.0,27.5,107.0,8.13,4.9,0,0,0,0,0,0,0,0,0
5,80.38,353,10.75,34.88,5.58,22.0,23.5,92.0,8.31,5.21,0,0,0,0,0,0,0,0,1
6,74.63,259,10.0,32.13,4.88,24.963813820955757,31.0,117.0,6.96,4.44,0,0,0,1,0,0,0,0,1
7,75.63,269,10.25,34.25,4.7,15.0,31.5,119.0,7.27,4.44,0,0,0,0,0,0,0,0,1
8,78.0,285,9.937039975637571,33.308915284231986,5.039916191715479,22.606934853428953,30.867801100705634,110.58800384323678,7.7524348769058165,4.39,1,1,1,1,1,1,1,0,0
9,77.63,304,11.38,33.88,5.23,23.0,29.5,96.0,8.02,4.94,0,0,0,0,0,0,0,0,1
10,77.25,297,9.38,34.0,4.95,25.459255786114625,28.0,115.0,7.29,4.55,0,0,0,1,0,0,0,0,0
11,76.75,250,9.88,33.38,4.82,20.0,31.5,121.0,7.2,4.38,0,0,0,0,0,0,0,0,0
12,78.25,329,9.88,34.0,5.04,25.0,28.0,102.0,7.85,4.9,0,0,0,0,0,0,0,0,0
13,74.63,307,9.75,32.0,5.14,21.0,27.0,105.0,7.66,4.5,0,0,0,0,0,0,0,0,1
14,76.13,273,10.25,35.0,4.94,19.0,34.0,115.0,7.24,4.40606796942697,0,0,0,0,0,0,0,1,0
15,77.13,273,9.88,33.88,5.233724385527084,17.0,28.0,106.0,7.9,4.84,0,0,1,0,0,0,0,0,0
16,76.63,316,10.5,32.38,5.491617580654234,23.0,25.0,97.0,8.238121538948246,4.75,0,0,1,0,0,0,1,0,0
17,75.0,242,9.25,34.25,4.74,25.0,29.5,120.0,7.2,4.42,0,0,0,0,0,0,0,0,1
18,77.63,277,9.75,34.25,4.92,25.0,33.0,116.0,7.17,4.372006494083928,0,0,0,0,0,0,0,1,1
19,74.13,301,10.38,32.88,5.340754309930891,23.0,26.475921444094638,102.46043793314104,8.2594851065978,4.96,0,0,1,0,1,1,1,0,0
20,76.25,295,9.38,33.38,4.81,34.0,30.379940312717224,109.32770484937072,7.686672508928745,4.73,0,0,0,0,1,1,1,0,0
21,74.0,322,10.38,32.63,5.36,26.0,24.5,99.0,8.02,4.88,0,0,0,0,0,0,0,0,0
22,78.75,318,10.5,36.5,5.45,18.0,27.0,106.0,7.57,4.69,0,0,0,0,0,0,0,0,0
23,75.0,271,9.5,34.0,4.850934161087725,25.39521721918741,32.687048634356216,120.20431422158063,7.645018778824422,4.46,0,0,1,1,1,1,1,0,0
24,75.88,314,9.88,35.0,5.11,26.0,26.0,106.0,7.3,4.78,0,0,0,0,0,0,0,0,1
25,76.75,309,10.0,32.25,5.376158332079315,27.0,26.26243097851831,99.88853443824063,8.183161120238271,4.84,0,0,1,0,1,1,1,0,0
26,74.63,248,9.0,30.25,4.75,26.0,29.5,116.0,7.02,4.217959104913936,0,0,0,0,0,0,0,1,1
27,76.13,318,10.0,33.5,4.98,23.0,28.5,108.0,7.685232816981781,4.13,0,0,0,0,0,0,1,0,0
28,74.63,257,10.5,32.0,4.88,23.56615184803779,30.5,115.0,7.38,4.4,0,0,0,1,0,0,0,0,0
29,74.75,303,9.75,33.25,5.32,22.0,23.5,99.0,7.94,4.71,0,0,0,0,0,0,0,0,1
30,75.63,332,9.5,33.25,5.22,34.0,27.234693368118794,96.53999506446202,8.093408881676822,4.838133233562237,0,0,0,0,1,1,1,1,1
31,76.0,305,10.25,33.38,5.24,26.0,28.0,101.0,7.52,4.68,0,0,0,0,0,0,0,0,1
32,76.75,307,9.38,32.88,5.24,23.0,26.0,96.0,7.71,4.84,0,0,0,0,0,0,0,0,1
33,78.38,302,9.88,33.38,5.15,24.0,31.0,108.0,7.98,4.94,0,0,0,0,0,0,0,0,1
