player_name,first_name,last_name,college,position,combine_year,height_inches,weight_lbs,hand_size_inches,arm_length_inches,40_yard_dash,bench_press_reps,vertical_leap_inches,broad_jump_inches,3_cone_drill,20_yard_shuttle,hand_size_inches_missed,arm_length_inches_missed,40_yard_dash_missed,bench_press_reps_missed,vertical_leap_inches_missed,broad_jump_inches_missed,3_cone_drill_missed,20_yard_shuttle_missed,round,pick,team,draft_status,draft_value
jamal_adams,jamal,adams,louisiana_state,db,2017,71.63,214,9.25,33.38,4.56,18,31.5,120,6.96,4.13,0,0,0,0,0,0,0,0,1,6,nyj,1,1
montravius_adams,montravius,adams,auburn,dl,2017,75.63,304,9.25,32.75,4.87,22,29,108,7.62,,0,0,0,0,0,0,0,1,3,93,gb,1,2
rodney_adams,rodney,adams,south_florida,wr,2017,73.25,189,9,32,4.44,8,29.5,125,6.98,4.28,0,0,0,0,0,0,0,0,5,170,min,1,3
quincy_adeboyejo,quincy,adeboyejo,mississippi,wr,2017,74.75,197,9.38,31.75,4.42,8,34.5,123,6.73,4.14,0,0,0,0,0,0,0,0,13,337,udfa,0,5
brian_allen,brian,allen,utah,db,2017,74.88,215,10,34,4.48,15,34.5,117,6.64,4.34,0,0,0,0,0,0,0,0,5,173,pit,1,3
jonathan_allen,jonathan,allen,alabama,dl,2017,74.63,286,9.38,33.63,5,21,30,108,7.49,4.44,0,0,0,0,0,0,0,0,1,17,was,1,1
ryan_anderson,ryan,anderson,alabama,lb,2017,74.13,253,9.38,31.5,4.78,,,,,,0,0,0,1,1,1,1,1,2,49,was,1,2
gavin_andrews,gavin,andrews,oregon_state,ol,2017,77,340,,,,,,,,5.09,1,1,1,1,1,1,1,0,13,337,udfa,0,5
alex_anzalone,alex,anzalone,florida,lb,2017,75,241,9.13,32.13,4.63,16,30.5,116,6.88,,0,0,0,0,0,0,0,1,3,76,no,1,2
isaac_asiata,isaac,asiata,utah,ol,2017,75.13,323,10.38,33.75,5.34,35,25.5,102,7.83,4.93,0,0,0,0,0,0,0,0,5,164,mia,1,3
